placename,problem_description
Normanton to Croydon Railway Line,"Invalid Geometry: reason    Ring Self-intersection[141.88846337 -17.98425123]
reason    Ring Self-intersection[141.88846337 -17.98425123]
Name: 10, dtype: object; Minimum angle missing or invalid; Too few edges: nan"
La Societe Fransaise des Metaux Rares treatment plant (former),Minimum angle too small: 27.47°
Old Cleveland Road Tramway Tracks,Minimum angle too small: 19.98°
Central Sugar Mill Ruins,Too few edges: 3.0
Mount Coot-tha Forest,Minimum angle too small: 15.44°
Toowong Memorial Park,Minimum angle too small: 22.22°
Victoria Park,Minimum angle too small: 3.68°
Railway Hotel,Minimum angle too small: 22.70°
Glass House Mountains National Park and Beerburrum Forest Reserve 1,Minimum angle too small: 19.70°
No. 1 Scottish Gympie Mine and Battery,Minimum angle too small: 17.73°
Toowong Municipal Library,Minimum angle too small: 19.61°
Habana Tramline Causeway and Wharf Site,Minimum angle too small: 12.97°
Early Streets of Brisbane,Minimum angle too small: 28.99°
First Brisbane Burial Ground,Minimum angle too small: 10.90°
Tomahawk Creek Huts,Too few edges: 3.0
Main Range Railway,Minimum angle too small: 25.82°
Spicers Gap Road Conservation Park,Minimum angle too small: 21.83°
Ravenswood Ambulance Station,Minimum angle too small: 18.70°
"Cook's Landing Place, Town of Seventeen Seventy",Minimum angle too small: 26.66°
"Cairns Railway, Section from Redlynch to Crooked Creek Bridge",Minimum angle too small: 17.04°
Laura to Maytown Coach Road,Minimum angle too small: 9.88°
Wild Irish Girl Mine and Battery,Minimum angle too small: 9.88°
Taroom Aboriginal Settlement (former),Minimum angle too small: 24.87°
Windsor War Memorial Park,Minimum angle too small: 24.90°
CSR Refinery (former),Minimum angle too small: 25.65°
"Shop, 3 Victoria Street, Forest Hill",Minimum angle too small: 27.69°
Mount Abundance Homestead,Minimum angle too small: 28.10°
Eagle Street Fountain,Too few edges: 3.0
Eagle Street Fig Trees,Too few edges: 3.0
"United Welsh Church, Blackstone",Minimum angle too small: 23.10°
Brisbane Exhibition Grounds,Minimum angle too small: 16.28°
Burnett Bridge,Minimum angle too small: 24.06°
Homebush Mission Hall,Too few edges: 3.0
Rocky Bluff Battery and Township,Minimum angle too small: 29.19°
Jondaryan Woolshed,Minimum angle too small: 17.89°
Allora Cemetery,Too few edges: 3.0
Pilot Officer Geoffrey Lloyd Wells Memorial Seat,Too few edges: 3.0
New Farm State School,Minimum angle too small: 14.24°
